Conference,2018,2019,2020,2021,2022,2023
2020 IEEE International Radar Conference,,,RANDOPT (2),,,
2020 IEEE International Symposium on Antennas and Propagation and North American Radio Science Meeting,,,DIANA (1),,,
2020 IEEE International Symposium on Antennas and Propagation and North American Radio Science Meeting (AP-S/URSI 2020),,,,FACTAS (1),,
2020 IEEE International Symposium on Mixed and Augmented Reality (ISMAR),,,ILDA (1),,,
2020 IEEE International Workshop on Blockchain Oriented Software Engineering (IWBOSE),,,RMOD (2),,,
2020 IEEE Power & Energy Society Innovative Smart Grid Technologies Conference (ISGT),,,DYOGENE (1),,,
2020 IEEE Radar Conference,,,FACTAS (1),,,
2020 IEEE Radio and Wireless Symposium,,,SOCRATE (1),,,
2020 IEEE Vehicular Technology Conference,,,FUN (1),,,
2020 IFAC World Congress,,,QUANTIC (1),,,
2020 IFIP Networking Conference (Networking),,,RESIST (1),,,
2020 ISMRM & SMRT Virtual Conference & Exhibition,,,M3DISIM (1),,,
2020 International Joint Conference on Neural Networks (IJCNN 2020),,,Mnemosyne (2),,,
2020 KDD Workshop on Applied Data Science for Healthcare,,,XPOP (1),,,
2020 OHBM - Annual Meeting of Organization for Human Brain Mapping,,,PARIETAL (1),,,
2020 Programming Language Design and Implementation (PLDI'20),,,INDES (1),,,
2020 RING MEETING,,,TOSCA-NGE-POST (1) PASTA (1),,,
2020 Symposium on Mathematical Theory of Networks and Systems (MTNS),,,QUANTIC (1),,,
2020 USENIX Annual Technical Conference,,,DELYS (1) Whisper (1),,,
2020 Workshop - ‘bioinformatics and biomathematical approaches to integrate the GPCR signal,,,MUSCA (1),,,
2021 - 12th International Symposium on Gut Microbiology,,,,Dyliss (1),,
"2021 - Conference on Environmental justice, Building back better ""after Corona""",,,,STEEP (1),,
"2021 - Convegno internazionale “Marivaux et les scènes européennes""",,,,ANIMA (1),,
2021 - Dagstuhl seminar on Autonomous agents on the web,,,,MOEX (1),,
2021 - Winter Simulation Conference,,,,DIONYSOS (2),,
2021 29th European Signal Processing Conference (EUSIPCO),,,,PARIETAL (1),,
2021 36th Annual ACM/IEEE Symposium on Logic in Computer Science (LICS),,,,PARTOUT (2),,
2021 American Control Conference (ACC),,,,DYOGENE (1),,
2021 Computing in Cardiology (CinC),,,,CARMEN (1),,
2021 Conference on Control Technology and Applications,,,,DISCO (1),,
2021 IEEE 18th International Symposium on Biomedical Imaging (ISBI),,,,MORPHEME (2),,
2021 IEEE 34th Computer Security Foundations Symposium (CSF),,,,COMETE (1),,
2021 IEEE Congress on Evolutionary Computation (CEC),,,,BONUS (1),,
"2021 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,,,XPOP (1),,
2021 IEEE International Conference on Blockchain and Cryptocurrency (ICBC),,,,AVIZ (1),,
2021 IEEE International Conference on Image Processing (ICIP),,,,OPIS (2),,
"2021 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)",,,,RMOD (2),,
2021 IEEE International Conference on Software Maintenance and Evolution (ICSME),,,,RMOD (1),,
2021 IEEE Visualization Conference (VIS),,,,ILDA (1),,
2021 IEEE Workshop on TRust and EXpertise in Visual Analytics (TREX),,,,ILDA (1),,
2021 IEEE World Haptics Conference (WHC),,,,MINT2 (1),,
2021 IEEE/ACM 43rd International Conference on Software Engineering,,,,Whisper (1),,
2021 IEEE/ACM 43rd International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),,,,CONVECS (1),,
2021 IEEE/ACM 4th International Workshop on Emerging Trends in Software Engineering for Blockchain (WETSEB),,,,RMOD (1),,
2021 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),,,,OPIS (1),,
2021 IEEE/CVF International Conference on Computer Vision Workshops (ICCVW),,,,OPIS (1),,
2021 ISMRM & SMRT Annual Meeting & Exhibition,,,,M3DISIM (1),,
2021 International Conference on Information Networking (ICOIN),,,,BONUS (2),,
2021 International Conference on Unmanned Aircraft Systems (ICUAS),,,,DISCO (1),,
2022 - 10th International Conference on Curves and Surfaces,,,,,SERPICO (1),
2022 - 6èmes journées des Démonstrateurs en Automatique,,,,,DANCE (3),
2022 - Infrared Remote Sensing and Instrumentation XXX,,,,,I4S (1),
2022 - International Symposium on Metabolism studies: materiality and relationality in the Anthropocene,,,,,STEEP (1),
2022 18th International Conference on Network and Service Management (CNSM),,,,,RESIST (1),
"2022 22nd International Symposium on Cluster, Cloud and Internet Computing (CCGrid)",,,,,DATAMOVE (1),
2022 29th Asia-Pacific Software Engineering Conference (APSEC),,,,,,VERIDIS (1)
"2022 2nd International Conference on Robotics, Automation and Artificial Intelligence (RAAI)",,,,,EVA (1) AIO (1),
"2022 30th Euromicro International Conference on Parallel, Distributed and Network-Based Processing (PDP)",,,,,DiverSe (1),
2022 30th European Signal Processing Conference (EUSIPCO),,,,,OPIS (1),
2022 3rd URSI Atlantic and Asia Pacific Radio Science Meeting (AT-AP-RASC),,,,,ACUMES (1) ATLANTIS (1),
2022 4th International Conference on Process Mining (ICPM),,,,,MEXICO (1),
2022 52nd Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN),,,,,RESIST (1),
2022 AACR annual meeting,,,,,COMPO (2),
2022 American Control Conference (ACC 2022),,,,,DISCO (4),
2022 Conference on Neural Information Processing Systems,,,,,OPIS (1),
2022 ESMO Immuno-Oncology Congress,,,,,COMPO (1),
2022 European Control Conference (ECC),,,,,McTAO (1) ACUMES (1) BIOCORE (1) KOPERNIC (1) BIOCORE (1),
"2022 IEEE 14th Image, Video, and Multidimensional Signal Processing Workshop (IVMSP)",,,,,Sirocco (1),
2022 IEEE 21st International Symposium on Network Computing and Applications (NCA),,,,,DELYS (1),
2022 IEEE 25th International Conference on Intelligent Transportation Systems (ITSC),,,,,LARSEN (1),
2022 IEEE 27th International Conference on Emerging Technologies and Factory Automation (ETFA),,,,,SYCOMORES (1),
2022 IEEE 35th Computer Security Foundations Symposium (CSF),,,,,PESTO (1),
2022 IEEE 42nd International Conference on Distributed Computing Systems (ICDCS),,,,,DATAMOVE (1),
2022 IEEE 47th Conference on Local Computer Networks (LCN),,,,,COATI (1),
2022 IEEE 61st Conference on Decision and Control (CDC),,,,,QUANTIC (1),
2022 IEEE 63rd Annual Symposium on Foundations of Computer Science (FOCS),,,,,QINFO (1),
2022 IEEE 95th Vehicular Technology Conference (VTC2022-Spring),,,,,MARACAS (1),
2022 IEEE ICWS -  International Conference on Web Services,,,,,FOCUS (1),
2022 IEEE Intelligent Vehicles Symposium (IV),,,,,LARSEN (1),
"2022 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP 2022)",,,,,OPIS (1),
2022 IEEE International Conference on Image Processing (ICIP),,,,,Sirocco (1),
2022 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW),,,,,STORM (1),
2022 IEEE International Smart Cities Conference (ISC2),,,,,DATAMOVE (1),
2022 IEEE Symposium on Security and Privacy,,,,,CAPSULE (1),
2022 IEEE-RAS 21st International Conference on Humanoid Robots (Humanoids),,,,,LARSEN (1),
2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),,,,,OURAGAN (1),
2022 IEEE/RSJ International Conference on Intelligent Robots and Systems,,,,,WILLOW (2),
2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),,,,,LARSEN (1),
2022 International Conference on 3D Vision (3DV),,,,,GEOMERIX (1),
"2022 International Conference on Electrical, Computer, Communications and Mechatronics Engineering (ICECCME)",,,,,MEMPHIS (1),
2022 NASA Formal Methods - 14th International Symposium,,,,,Whisper (1),
"2023 - 3rd edition of the international conference ""Cognitive neuroscience of memory: Recollection, familiarity and novelty detection",,,,,,EMPENN (1)
2023 - 54th International Liège Colloquium on Ocean Dynamics,,,,,,ODYSSEY (1)
2023 - 6th Nordic STS Conference,,,,,,PRIVATICS (1)
2023 - 7th Conference on Stochastic Models,,,,,,ERMINE (2)
2023 - Accelerating Generative Models and Nonconvex Optimisation Workshop,,,,,,STATIFY (1)
2023 - IEEE World Haptics Conference,,,,,,RAINBOW (1)
2023 - Journée Scientifique de la Fedrha sur le thème “Handicap visuel et participation sociale : les apports de la recherche”,,,,,,BIOVISION (1)
2023 - Workshop on Advanced School on Quantitative Principles in Microbial Physiology: from Single Cells to Cell Communities,,,,,,MICROCOSME (1) MACBES (1)
2023 38th Annual ACM/IEEE Symposium on Logic in Computer Science (LICS),,,,,,QuaCS (2) MOCQUA (1)
"2023 59th Annual Allerton Conference on Communication, Control, and Computing (Allerton)",,,,,,DYOGENE (1) ARGO (1)
2023 62nd IEEE Conference on Decision and Control (CDC),,,,,,DYOGENE (1) ARGO (1)
2023 7th Cyber Security in Networking Conference (CSNet),,,,,,RESIST (1)
2023 ACM CHI Conference on Human Factors in Computing Systems (CHI ’23),,,,,,LOKI (1)
2023 ACM SIGMETRICS International Conference on Measurement and Modeling of Computer Systems,,,,,,NEO (1)
2023 ARITH - 30th IEEE International Symposium on Computer Arithmetic,,,,,,EMERAUDE (1)
2023 ASCO Annual Meeting,,,,,,COMPO (1)
2023 American Control Conference (ACC),,,,,,ARGO (1)
2023 Computing in Cardiology (CinC),,,,,,EPIONE (1)
2023 Conference on Empirical Methods in Natural Language Processing,,,,,,MULTISPEECH (1) MAGNET (1)
2023 Conference on Lasers and Electro-Optics Europe & European Quantum Electronics Conference (CLEO/Europe-EQEC),,,,,,M3DISIM (1)
"2023 Design, Automation & Test in Europe Conference & Exhibition (DATE)",,,,,,DART (1)
2023 Drôles d'Objets - Un nouvel art de faire,,,,,,Mnemosyne (1)
2023 European Control Conference (ECC 2023),,,,,,DISCO (3) BIOCORE (1)
2023 European Control Conference (ECC),,,,,,McTAO (1)
2023 IEEE 29th Real-Time and Embedded Technology and Applications Symposium (RTAS),,,,,,KOPERNIC (1)
2023 IEEE 30th Symposium on Computer Arithmetic (ARITH 2023),,,,,,CARAMBA (1) ARIC (1)
2023 IEEE 35th International Conference on Tools with Artificial Intelligence (ICTAI),,,,,,AGORA (1) MARACAS (1)
2023 IEEE 36th Computer Security Foundations Symposium (CSF),,,,,,PROSECCO (1)
2023 IEEE 8th European Symposium on Security and Privacy (EuroS&P),,,,,,PROSECCO (1)
2023 IEEE 9th International Conference on Network Softwarization (NetSoft),,,,,,PESTO (1) RESIST (1)
2023 IEEE Automatic Speech Recognition and Understanding Workshop (ASRU 2023),,,,,,MULTISPEECH (1)
2023 IEEE European Symposium on Security and Privacy Workshops (EuroS&PW),,,,,,CIDRE (1) EPICURE (1)
2023 IEEE Frontiers in Education Conference (FIE),,,,,,AVALON (1) CASH (1)
2023 IEEE Information Theory Workshop (ITW),,,,,GRACE (1),DYOGENE (1)
"2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP 2023)",,,,,,ALMAnaCH (1) CoML (1)
2023 IEEE International Conference on Advanced Robotics and Its Social Impacts (ARSO),,,,,,ASTRA (1)
2023 IEEE International Conference on Robotics and Automation (ICRA),,,,,,LARSEN (2) WILLOW (1) AUCTUS (1)
2023 IEEE International Conference on Soft Robotics (RoboSoft),,,,,,DEFROST (2)
2023 IEEE International Parallel and Distributed Processing Symposium (IPDPS),,,,,,DATAMOVE (1)
2023 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW),,,,,,BONUS (1)
"2023 IEEE Intl Conf on Dependable, Autonomic and Secure Computing, Intl Conf on Pervasive Intelligence and Computing, Intl Conf on Cloud and Big Data Computing, Intl Conf on Cyber Science and Technology Congress (DASC/PiCom/CBDCom/CyberSciTech)",,,,,,FUN (1)
2023 IEEE RAS International Conference on Humanoid Robots,,,,,,LARSEN (1)
2023 IEEE Smart World Congress (SWC),,,,,,LARSEN (1)
2023 IEEE/CVF 6 International Conference on Computer Vision Workshops (ICCVW),,,,,,STARS (1)
2023 IFIP Networking Conference (IFIP Networking),,,,,,COATI (1) INOCS (1)
2023 IMX - ACM International Conference on Interactive Media Experiences,,,,,,WIMMICS (1) BIOVISION (1)
2023 International Conference on ICT for Sustainability (ICT4S),,,,,,DATAMOVE (1)
2023 International Conference on Machine Learning,,,,,FAIRPLAY (1),
2023 International Conference on Microservices,,,,,,SPIRALS (1)
2023 International Joint Conference on Neural Networks (IJCNN),,,,,,MAASAI (1)
2023 International Symposium on Symbolic and Algebraic Computation,,,,,,OURAGAN (1)
2023 Joint Statistical Meetings,,,,,,LEMON (1)
2023 Proceedings of the Conference on Control and its Applications (CT),,,,,,DISCO (1)
2023 SMB annual meeting - Annual Meeting of the Society for Mathematical Biology,,,,,,COMPO (1)
2023 Swiss Metabolomics Society Annual Meeting,,,,,,WIMMICS (1)
"2023 World Conference on Smart Trends in Systems, Security and Sustainability",,,,,,AROMATH (1)
"20e Colloque Compression et Représentation des Signaux Audiovisuels, CORESA 2018",BIGS (1),,,,,
20e édition des Journées de Formulation : Substitution et Reformulation,,,,BIGS (1),,
20th ACM SIGACCESS Conference on Computers and Accessibility (ASSETS'18),Potioc (1),,,,,
"20th Annual IEEE International Conference on Sensing, Communication, and Networking (SECON 2023)",,,,,,PASTA (1)
20th Consumer Communications & Networking Conference (CCNC ),,,,,,TRiBE (1)
20th Edition of the International Workshop in Spatial Econometrics and Statistics,,,,,MODAL (1),
20th IEEE International Conference on Mobile Data Management (MDM) 2019,,MIMOVE (1),,,,
20th IEEE International Symposium on Biomedical Imaging (ISBI 2023),,,,,,EMPENN (1)
"20th Int. Workshop on Algorithms, Models and Tools for Parallel Computing on Heterogeneous Platforms (HeteroPar)",,,,,ROMA (1),
20th International  Congress on Phonetic Sciences,,,,,,MULTISPEECH (1)
20th International Conference on Coordination Languages and Models (COORDINATION),FOCUS (1),,,,,
20th International Conference on Descriptional Complexity of Formal Systems,MEXICO (1),,,,,
20th International Conference on Distributed Computing and Networking (ICDCN 2019),,DELYS (1),,,,
20th International Conference on Formal Modeling and Analysis of Timed Systems,,,,,VERIDIS (1),
20th International Conference on Principles of Knowledge Representation and Reasoning (KR 2023),,,,,,VALDA (1)
20th International Conference on Spoken Language Translation (IWSLT 2023),,,,,,ALMAnaCH (1)
20th International Conference on Transparent Optical Networks (ICTON),COATI (1),,,,,
20th International Congress of Phonetic Sciences (ICPhS 2023),,,,,,MULTISPEECH (1)
20th International Symposium on Principles and Practice of Declarative Programming,FOCUS (1),,,,,
"20ème édition de la conférence francophone ""Extraction et gestion des connaissances""",,,CAPSID (1),,,
20èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications(ALGOTEL 2018),DELYS (1),,,,,
21e Colloque National de Maîtrise des risques et sûreté de fonctionnement,DIONYSOS (1),,,,,
21e congrès du Groupe de graphisme et modélisation moléculaire (GGMM),,CAPSID (1),,,,
"21eme Journée Calcul Scientifique et Modélisation Mathématique d’Amiens,",,,,,MUSCA (1),
21st ACM/IEEE International Symposium on Code Generation and Optimization (CGO ’23),,,,,,CAMUS (1)
"21st Conference on Innovation in Clouds, Internet and Networks (ICIN 2018)",DELYS (1),,,,,
21st IFAC World Congress,,,CaGE (2) McTAO (1) CALISTO (1),,,
21st International Conference on Applied Cryptography and Network Security,,,,,,CASCADE (1)
21st International Conference on Artificial Intelligence and Statistics (AISTATS 2018),PARIETAL (1),,,,,
21st International Conference on Medical Image Computing and Computer Assisted Intervention (MICCAI 2018),VisAGeS (1),,,,,
