Siid;Sigle;Type;Principale;Nom du responsable;Prénom du responsable;Date début fonction;Date fin fonction;Type fonction;CRI;Site;Statut actuel;Date début statut actuel;Date fin statut actuel;Libellé français;Libellé anglais;Domaine français;Domaine anglais;Thème français;Thème anglais;Partenaires (sigles);Partenaires (libellés);Institut(s) CNRS impliqué(s);Laboratoires (sigles);Laboratoires (libellés);Date de création;Date d'arrêt;Dates d'évaluations;Num. national;idHAL;Décisions INRIA;Code structure;Mots clés (français);Mots clés (anglais);Unnamed: 34
SR0569CR;BEAGLE;EP;principal;Beslon;Guillaume;01-01-2013;;Principal;Centre Inria de Lyon;Centre de recherche Inria de Lyon;Décision signée;01/01/2013;31/12/2024;Artificial Evolution and Computational Biology;Artificial Evolution and Computational Biology;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Biologie numérique;Computational Biology;INSA LYON, U. LYON 1 (UCBL), CNRS;Institut national des sciences appliquées de Lyon, Université Claude Bernard (Lyon 1), CNRS;INS2I;LIRIS [];Laboratoire d'InfoRmatique en Image et Systèmes d'information (LIRIS);01/01/2013;31/12/2024;17/10/2013, 11/10/2017, 15/05/2022;201120997E;;9242-C, 10210-P, 13243-P, 15193-P, 16554-P;121014-0;;;
SR0945LR;BENAGIL;EP;principal;Thomas;Gael;01-09-2023;;Principal;Centre Inria de Saclay;Centre de recherche Inria de Saclay;Décision signée;01/09/2023;31/08/2027;Systèmes répartis performants et sûrs;Efficient and safe distributed systems;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Systèmes distribués et intergiciels;Distributed Systems and middleware;IP-PARIS, TELECOM SUDPARIS;Institut Polytechnique de Paris, TELECOM SUDPARIS;;SAMOVAR [INSTITUT MINES-TELECOM, IP-PARIS, TELECOM SUDPARIS];Services répartis, Architectures, MOdélisation, Validation, Administration des Réseaux;01/09/2023;31/08/2027;;202324438T;;16466-C;111109-0;Systèmes d'exploitation, systèmes parallèles, systèmes répartis;Operating systems, parallel systems, distributed systems;
SR0464QR;BIGS;EP;principal;Champagnat;Nicolas;01-01-2022;31-12-2023;Par intérim;Centre Inria de l'Université de Lorraine;Institut Élie Cartan de Lorraine ? UMR 7502;Terminée;01/01/2024;;Biologie, génétique et statistiques;Biology, genetics and statistics;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Modélisation et commande pour le vivant;Modeling and Control for Life Sciences;CNRS, U. DE LORRAINE;CNRS, Université de Lorraine;INSMI;IECL [CNRS, U. DE LORRAINE];Institut Elie Cartan de Lorraine (IECL);01/01/2011;01/01/2024;15/10/2013, 11/10/2017, 15/05/2022;200920955T;;7995-C, 10210-P, 11135-N, 12373-?, 13243-P, 13306-N, 15196-P, 15907-N;051086-1;Modélisation, statistique, probabilités, biologie;Statistics, Probability theory, Biology;
SR0444IR;BIOCORE;Equipe;principal;Bernard;Olivier;01-01-2022;;Principal;Centre Inria d'Université Côte d'Azur;Centre Inria d'Université Côte d'Azur;En cours de fermeture;01/01/2024;31/12/2024;Biological control of artificial ecosystems;Biological control of artificial ecosystems;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Modélisation et commande pour le vivant;Modeling and Control for Life Sciences;CNRS, INRAE, SORBONNE UNIVERSITE;CNRS, INRAE, Sorbonne Université;INSU;LOV [UPMC, CNRS];Laboratoire d'océanographie de Villefranche (LOV);01/01/2011;31/12/2024;15/10/2013, 12/10/2017, 15/05/2022;201121226D;;7768-C, 10209-P, 13241-P, 15216-CR, 15217-N, 15196-P, 16708-P;041010-1;modéles biologiques, controle, bioréacteur, bioénergie, biosystèmes, écosystèmes;biological models, control, bioreactor, bioenergy, biosystems, ecosystems;
SR0444IR;BIOCORE;Equipe;;Bernard;Olivier;01-01-2011;; (Non renseigné);Centre Inria d'Université Côte d'Azur;Laboratoire d'Océanographie de Villefranche-sur-Mer,  Station Zoologique;En cours de fermeture;01/01/2024;31/12/2024;Biological control of artificial ecosystems;Biological control of artificial ecosystems;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Modélisation et commande pour le vivant;Modeling and Control for Life Sciences;CNRS, INRAE, SORBONNE UNIVERSITE;CNRS, INRAE, Sorbonne Université;INSU;LOV [UPMC, CNRS];Laboratoire d'océanographie de Villefranche (LOV);01/01/2011;31/12/2024;15/10/2013, 12/10/2017, 15/05/2022;201121226D;;7768-C, 10209-P, 13241-P, 15216-CR, 15217-N, 15196-P, 16708-P;041010-1;modéles biologiques, controle, bioréacteur, bioénergie, biosystèmes, écosystèmes;biological models, control, bioreactor, bioenergy, biosystems, ecosystems;
SR0846CR;BIOVISION;EP;principal;Cessac;Bruno;01-08-2018;;Principal;Centre Inria d'Université Côte d'Azur;Centre Inria d'Université Côte d'Azur;Décision signée;01/08/2018;31/12/2027;Vision biologique : modèles intégratifs et systèmes d?aide à la vision pour les déficients visuels;Biologically plausible Integrative mOdels of the Visual system : towards synergIstic Solutions for visually-Impaired people and artificial visiON;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Neurosciences et médecine numériques;Computational Neuroscience and Medicine;;;;;;01/08/2018;31/12/2027;15/05/2022;201622040S;;13000-C, 15197-P, 16555-P;041150-1;;Visual neuroscience, low-vision, retina therapy, bio-inspired vision, computer vision, modelling;
SR0954OR;BIVWAC;EP;principal;Hachet;Martin;01-01-2024;;Principal;Centre Inria de l'université de Bordeaux;Centre Inria de l'université de Bordeaux;Décision signée;01/01/2024;31/12/2027;Construire des visualisations immersives pour favoriser la compréhension, la prise de conscience, et le bien-être;Building Immersive Visualizations for Welfare, Awareness, and Comprehension;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Interaction et visualisation;Interaction and visualization;CNRS;CNRS;INS2I;LABRI [CNRS];Laboratoire Bordelais de Recherche en Informatique (LaBRI);01/01/2024;31/12/2027;;202424473B;;16636-C;091074-0;Visualisation, Interaction Humain-Machine, Réalité mixte;Visualisation, Human-Computer Interaction, Mixed-Reality;
SR0788IR;BONUS;Equipe;principal;Melab;Nouredine;01-07-2017;31-12-2017;Principal;Centre Inria de l'Université de Lille;Centre Inria de l'Université de Lille;Terminée;31/05/2019;;Optimisation de grande taille et calcul large échelle;Big Optimization aNd UncertaintieS;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Optimisation, apprentissage et méthodes statistiques;Optimization, machine learning and statistical methods;;;;;;01/07/2017;31/05/2019;;201722535A;;12259-C, 12532-P, 13209-P, 13525-F;101054-0;;Big optimization, scalability, metaheuristics, decomposition-based optimization, Machine Learning-assisted optimization, ultra-scale optimization.;
SR0878GR;BONUS;EP;principal;Derbel;Bilel;01-11-2023;;Principal;Centre Inria de l'Université de Lille;Centre Inria de l'Université de Lille;Décision signée;01/06/2019;31/12/2027;Optimisation de grande taille et calcul large échelle;Big Optimization aNd Ultra-Scale Computing;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Optimisation, apprentissage et méthodes statistiques;Optimization, machine learning and statistical methods;UNIVERSITE DE LILLE;Université de Lille;INS2I;CRISTAL [E. CENTRALE LILLE, U. LILLE 1 (USTL), U. LILLE 3 (UCDG), CNRS, INRIA];Centre de Recherche en Informatique, Signal et Automatique de Lille;01/06/2019;31/12/2027;01/12/2022;201722535A;;13587-C, 15814-P, 16547-CR, 16548-N, 16728-P;101054-0;;Big optimization, scalability, metaheuristics, decomposition-based optimization, Machine Learning-assisted optimization, ultra-scale optimization.;
SR0924BR;BOREAL;EP;principal;Ulliana;Federico;01-06-2022;;Principal;Centre Inria d'Université Côte d'Azur;Antenne Inria Montpellier - Université Montpellier;Décision signée;01/06/2022;31/05/2026;Repre?sentation de Connaissances et Langages a? Base de Re?gles pour Raisonner sur les Donne?s;Knowledge Representation and Rule-Based Languages for Reasoning on Data;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Représentation et traitement des données et des connaissances;Data and Knowledge Representation and Processing;U. MONTPELLIER, INRAE;Université de Montpellier, INRAE;INS2I;LIRMM [U. MONTPELLIER 2, CNRS], UMR IATE [];Laboratoire d'informatique, de robotique et de microélectronique de Montpellier (LIRMM), Ingénierie des Agropolymères et Technologies Emergentes (IATE);01/06/2022;31/05/2026;;202224285F;;15446-C;041169-0;Représentation de connaissances et raisonnements, Raisonnement à base de règles, Gestion de données à base de connaissances, Intégration de données hétérogènes et fédérées à base de connaissances.;Knowledge Representation and Reasoning, Rule-based Reasoning, Knowledge-based Data Management, Knowledge-based Integration of Heterogeneous and Federated Data;
SR0848TR;CAGE;EP;principal;Sigalotti;Mario;01-08-2018;;Principal;Centre Inria de Paris;Sorbonne Université;Décision signée;01/08/2018;31/12/2026;Contrôle et géométrie;Control and Geometry;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Optimisation et contrôle de systèmes dynamiques;Optimization and control of dynamic systems;CNRS, SORBONNE UNIVERSITE;CNRS, Sorbonne Université;INSMI;LJLL [UPMC, CNRS];Laboratoire Jacques-Louis Lions (LJLL);01/08/2018;31/12/2026;12/01/2022;201722536B;;13003-C, 15186-P, 15853-P, 16225-P;021149-1;Contrôle géométrique, contrôle quantique, neurophysiologie, systèmes commutés;Geometric control, quantum control, neurophysiology, switched systems;
SR0740WR;CAGIRE;EP;principal;Manceau;Remi;18-11-2019;;Principal;Centre Inria de l'université de Bordeaux;Université de Pau et Pays de l'Adour;Décision signée;01/05/2016;31/12/2026;Computational AGility for internal flows sImulations and compaRisons with Experiments;Computational AGility for internal flows sImulations and compaRisons with Experiments;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Schémas et simulations numériques;Numerical schemes and simulations;CNRS, U. PAU (UPPA);CNRS, Université de Pau et des Pays de l'Adour;INSMI;LMAP [U. PAU (UPPA), CNRS];Laboratoire de mathématiques et de leurs applications (LMAP);01/05/2016;31/12/2026;15/03/2017, 12/01/2022;201120995C;;11582-C, 12548-P, 13960-CR, 13962-N, 15187-P, 15855-P, 16224-P;091052-1;;;
SR0211OR;CAIRN;EP;principal;Sentieys;Olivier;01-01-2009;;Principal;Centre Inria de l'Université de Rennes;École Nationale Supérieure des Sciences Appliquées et de Technologie;Terminée;30/04/2021;;Systèmes sur puce reconfigurables : architectures, algorithmes et compilation;Energy Efficient Computing ArchItectures with Embedded Reconfigurable Resources;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Architecture, langages et compilation;Architecture, Languages and Compilation;U. RENNES 1, CNRS, ENS RENNES;Université Rennes 1, CNRS, École normale supérieure de Rennes;INS2I;IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS];Institut de recherche en informatique et systèmes aléatoires (IRISA);01/01/2009;30/04/2021;21/03/2012, 22/03/2016, 19/03/2020;200818991M;;6670-C, 9127-P, 11952-P, 14582-P;031077-1;accélérateurs matériels, compilation, système embarqués, consommation d'énergie, parallélisme, réseaux de capteurs sans fil, sécurité, traitement du signal, architectures reconfigurables, arithmétique des ordinateurs, systèmes sur puce;Hardware Accelerators, Compiling, Embedded Systems, Energy Consumption, Parallelism, Wireless Sensor Networks, Security, Signal Processing, Reconfigurable Hardware, Computer Arithmetic, System-On-Chip;
SR0897VR;CALISTO;EP;principal;Bossy;Mireille;01-11-2020;;Principal;Centre Inria d'Université Côte d'Azur;Centre Inria d'Université Côte d'Azur;Décision signée;01/11/2020;31/12/2027;Approches stochastiques pour les e?coulements complexes et l?environnement;Stochastic Approaches for Complex Flows and Environment;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Approches stochastiques;Stochastic approaches;CNRS;CNRS;INSIS;CEMEF [CNRS];Centre de Mise en Forme des Matériaux (CEMEF);01/11/2020;31/12/2027;01/12/2022;202023616M;;14470-C, 15813-P, 16819-P;041166-0;Modélisations, Analyses Mathématiques, Numériques et des Incertitudes;Modeling, Mathematical Analysis, Numerics and Uncertainties;
SR0881NR;CAMBIUM;EP;principal;Pottier;Francois;01-08-2019;;Principal;Centre Inria de Paris;Centre de recherche Inria de Paris;Décision signée;01/08/2019;31/12/2024;Langages de programmation : systèmes de types, concurrence, preuve de programme;Programming languages: type systems, concurrency, proofs of programs;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Preuves et vérification;Proofs and Verification;COLLEGE DE FRANCE;Collège de France;;;;01/08/2019;31/12/2024;;201923244M;;13741-C, 16659-P, 16998-P;021155-0;;;
SR0721KR;CAMIN;Equipe;principal;Azevedo coste;Christine;01-01-2017;;Par intérim;Centre Inria d'Université Côte d'Azur;Centre Inria d'Université Côte d'Azur;Terminée;28/02/2019;;Control of Artificial Movement & Intuitive Neuroprosthesis;Control of Artificial Movement & Intuitive Neuroprosthesis;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Neurosciences et médecine numériques;Computational Neuroscience and Medicine;;;;;;01/01/2016;28/02/2019;;201622042U;;11291-C, 11920-P, 11924-N, 11923-CR, 12458-P, 13235-P, 13522-F;041152-0;;;
SR0869PR;CAMIN;EP;principal;Azevedo coste;Christine;01-03-2019;;Principal;Centre Inria d'Université Côte d'Azur;Antenne Inria Montpellier - Université Montpellier;Décision signée;01/03/2019;31/12/2027;Contro?le Artificiel de Mouvements et de Neuroprothe?ses Intuitives;Control of Artificial Movement & Intuitive Neuroprosthesis;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Neurosciences et médecine numériques;Computational Neuroscience and Medicine;;;;;;01/03/2019;31/12/2027;15/05/2022;201622042U;;13452-C, 14390-M, 15197-P, 16555-P;041152-1;FES, neuroprothèses, Contrôle de Mouvements, Technologies d'Assistance, Interfaces, Analyse du Mouvement, électrophysiologie;FES, Neuroprostheses, Motion Control, Assistive Technologies, Interfaces, Movement Analysis, Electrophysiology;
SR0411YR;CAMUS;Equipe;principal;Clauss;Philippe;01-07-2009;31-12-2016; (Non renseigné);Centre Inria de l'Université de Lorraine;Centre Inria de l'Université de Lorraine;Terminée;28/02/2019;;Compilation pour les Architectures MUlti-coeurS;Compilation pour les Architectures MUlti-coeurS;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Architecture, langages et compilation;Architecture, Languages and Compilation;;;;;;01/07/2009;28/02/2019;21/03/2012, 22/03/2016;200920957V;;6854-C, 7132-P, 7684-P, 8129-P, 8390-P, 8747-P, 9053-P, 9516-P, 9802-P, 10179-P, 10548-P, 11349-P, 11953-P, 12292-P, 12584-P, 12955-P, 13280-P, 13537-F;051089-0;compilation, parallélisme, optimisation de programmes, processeurs multi-coeurs;compilation, parallelism, program optimization, multi-core processors;
SR0870KR;CAMUS;EP;principal;Clauss;Philippe;01-10-2023;;Principal;Centre Inria de l'Université de Lorraine;Icube Illkirch-Graffenstaden - IUT Robert Schuman;Décision signée;01/10/2023;30/09/2027;Compilation pour les Architectures MUlti-processeurs et multi-coeurS;Compilation for multi-processor and multi-core architectures;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Architecture, langages et compilation;Architecture, Languages and Compilation;U. STRASBOURG;Université de Strasbourg;INS2I, INS2I;ICUBE [];Laboratoire des sciences de l'ingénieur, de l'informatique et de l'imagerie;01/10/2023;30/09/2027;19/03/2020;200920957V;;13516-C, 14582-P, 15180-P, 15579-P, 16468-C;051089-1;compilation, parallélisme, optimisation de programmes, processeurs multi-coeurs;compilation, parallelism, program optimization, multi-core processors;
