Siid;Sigle;Type;Principale;Nom du responsable;Prénom du responsable;Date début fonction;Date fin fonction;Type fonction;CRI;Site;Statut actuel;Date début statut actuel;Date fin statut actuel;Libellé français;Libellé anglais;Domaine français;Domaine anglais;Thème français;Thème anglais;Partenaires (sigles);Partenaires (libellés);Institut(s) CNRS impliqué(s);Laboratoires (sigles);Laboratoires (libellés);Date de création;Date d'arrêt;Dates d'évaluations;Num. national;idHAL;Décisions INRIA;Code structure;Mots clés (français);Mots clés (anglais);
"SR0316YR";"ALF";"Equipe";principal;"Seznec";"Andre";"";"";"Principal";"Centre Inria de l'Université de Rennes";"Centre Inria de l'Université de Rennes";"Terminée";"31/12/2010";"";"La loi d'Amdahl est pour toujours";"Amdahl's Law is Forever";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Architecture et compilation";"Architecture and Compiling";"U. RENNES 1";"Université Rennes 1";"";"";"";"01/01/2009";"31/12/2010";"";"200920925K";"";"6495-C";"031081-0";"architecture, multicoeur, compilation";"computer architecture, multicore, compilation";
"SR0460XR";"ALF";"EP";principal;"Seznec";"Andre";"01-01-2011";"31-12-2012";"Principal";"Centre Inria de l'Université de Rennes";"Centre Inria de l'Université de Rennes";"Terminée";"30/06/2016";"";"La loi d'Amdahl est pour toujours";"Amdahl's Law is Forever";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Architecture, langages et compilation";"Architecture, Languages and Compilation";"U. RENNES 1";"Université Rennes 1";"";"IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS]";"Institut de recherche en informatique et systèmes aléatoires (IRISA)";"01/01/2011";"30/06/2016";"21/03/2012, 22/03/2016";"200920925K";"";"7075-C, 9127-P, 11718-F, 11719-CR";"031081-1";"architecture, multicoeur, compilation";"computer architecture, multicore, compilation";
"SR0199VR";"ALGO";"EP";principal;"Salvy";"Bruno";"";"";"Principal";"Centre Inria de Paris";"Rocquencourt";"Terminée";"31/12/2007";"";"Algorithmes";"Algorithms";"Systèmes symboliques";"Symbolic systems";"Structures algébriques et géométriques, algorithmes";"Algebraic and geometric structures, algorithms";"";"";"";"";"";"01/01/1981";"31/12/2007";"";"198121341J";"";"2966-C, 4530-P, 5787-P, 5988-F";"";"analyse d'algorithme,algorithmique,analyse combinatoire et asymptotique,évaluation de performance,analyse automatique,calcul formel,arbres,tri et recherche,protocole de communication et r&eacut";"analysis of algorithms,algorithmics,combinatorial and asymptotic analysis,performance evaluation,automatic analysis,symbolic computing and computer algebra,trees,sorting and searching,communication pr";
"SR0050GR";"ALGORILLE";"EP";principal;"Quinson";"Martin";"01-01-2014";"31-12-2014";"Par intérim";"Centre Inria de l'Université de Lorraine";"Centre Inria de l'Université de Lorraine";"Terminée";"31/12/2014";"";"Algorithmes pour la Grille";"Algorithms for the Grid";"Réseaux, systèmes et services, calcul distribué";"Networks, Systems and Services, Distributed Computing";"Calcul distribué et à haute performance";"Distributed and High Performance Computing";"CNRS, U. DE LORRAINE";"CNRS, Université de Lorraine";"";"LORIA [CNRS, INRIA]";"Laboratoire lorrain de recherche en informatique et ses applications (LORIA)";"01/01/2007";"31/12/2014";"11/10/2012";"200718299P";"";"5582-C, 6564-P, 9530-P, 9804-CR, 9805-N, 10635-F";"051002-1";"calcul sur la Grille, algorithmes distribués, parallelisme, distribution de données, ordonnancement";"Grid computing, distributed algorithms, parallelism, data distribution, task scheduling";
"SR0682FR";"ALGORILLE";"Equipe";principal;"Quinson";"Martin";"01-01-2015";"";"Par intérim";"Centre Inria de l'Université de Lorraine";"Centre Inria de l'Université de Lorraine";"Terminée";"01/03/2015";"";"Algorithmes pour la Grille";"Algorithms for the Grid";"Réseaux, systèmes et services, calcul distribué";"Networks, Systems and Services, Distributed Computing";"Calcul distribué et à haute performance";"Distributed and High Performance Computing";"";"";"";"";"";"01/01/2015";"01/03/2015";"11/10/2012";"200718299P";"";"10657-C, 10834-F";"051002-1";"calcul sur la Grille, algorithmes distribués, parallelisme, distribution de données, ordonnancement";"Grid computing, distributed algorithms, parallelism, data distribution, task scheduling";
"SR0094PR";"ALGORITHMS";"EP";principal;"Salvy";"Bruno";"01-04-2011";"30-06-2012";"Par intérim";"Centre Inria de Paris";"Rocquencourt";"Terminée";"31/12/2012";"";"Algorithmes";"Algorithms";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Algorithmique, calcul certifié et cryptographie";"Algorithms, Certification, and Cryptography";"";"";"";"";"";"01/07/2008";"31/12/2012";"24/03/2011";"200818332W";"";"6233-C, 7885-N, 8337-P, 9118-F";"021087-1";"Analyse d?algorithmes, calcul formel";"Analysis of algorithms, Computer algebra";
"SR0047CR";"ALICE";"EP";principal;"Levy";"Bruno";"09-01-2006";"31-12-2015";"Principal";"Centre Inria de l'Université de Lorraine";"Centre Inria de l'Université de Lorraine";"Terminée";"31/12/2018";"";"Géometrie et Lumière";"Geometry and Lighting";"Perception, Cognition, Interaction";"Perception, Cognition and Interaction";"Interaction et visualisation";"Interaction and visualization";"CNRS, U. DE LORRAINE";"CNRS, Université de Lorraine";"";"LORIA [CNRS, INRIA]";"Laboratoire lorrain de recherche en informatique et ses applications (LORIA)";"09/01/2006";"31/12/2018";"21/10/2010, 15/10/2014, 03/10/2018";"200618296R";"";"6391-C, 7267-P, 8097-P, 11313-P";"051003-1";"Optimisation numérique linéaire/non-linéaire/contrainte, méthode de Galerkin, méthodes stochastiques, rendu volumique, clusters, binary swap";"Linear/non-linear/constrained numerical optimization, Galerkin formulation, stochastic methods, volume rendering, clusters, binary swap";
"SR0860ZR";"ALICE";"";principal;"Sokolov";"Dmitry";"01-01-2019";"31-12-2019";"Principal";"Centre Inria de l'Université de Lorraine";"Centre Inria de l'Université de Lorraine";"Terminée";"31/03/2020";"";"Géometrie et Lumière";"Geometry and Lighting";"Perception, Cognition, Interaction";"Perception, Cognition and Interaction";"Interaction et visualisation";"Interaction and visualization";"";"";"";"";"";"01/01/2019";"31/03/2020";"";"201922965J";"";"13284-C, 14037-F";"051003-1";"Optimisation numérique linéaire/non-linéaire/contrainte, méthode de Galerkin, méthodes stochastiques, rendu volumique, clusters, binary swap";"Linear/non-linear/constrained numerical optimization, Galerkin formulation, stochastic methods, volume rendering, clusters, binary swap";
"SR0136SR";"ALIEN";"EP";principal;"Fliess";"Michel";"";"";"Principal";"Centre Inria de Saclay";"Laboratoire d'Informatique de l'Ecole polytechnique";"Terminée";"31/12/2010";"";"algèbre pour Identification et Estimation Numériques";"Algebra for Digital Identification and Estimation";"Mathématiques appliquées, calcul et simulation";"Applied Mathematics, Computation and Simulation";"Modélisation, optimisation et contrôle de systèmes dynamiques";"Modeling, Optimization, and Control of Dynamic Systems";"E. CENTRALE LILLE, EC. POLYTECHNIQUE, CNRS";"Ecole Centrale de Lille, Ecole Polytechnique, CNRS";"";"LIX [EC. POLYTECHNIQUE, CNRS], LAGIS [U. LILLE 1 (USTL), E. CENTRALE LILLE]";"Laboratoire d'informatique de l'école polytechnique (LIX), Laboratoire d'Automatique, de Génie Informatique et Signal (LAGIS)";"01/07/2007";"31/12/2010";"19/03/2009";"200718371T";"";"5805-C, 6068-R, 7010-P, 7574-F";"";"identification, estimation, algèbre, calcul opérationnel, non-asymptotique, automatique, traitement du signal";"identification, estimation, algebra, operational calculation, non-asymptotic, control, signal processing";
"SR0136SR";"ALIEN";"EP";;"Fliess";"Michel";"";"";"Principal";"Centre Inria de l'Université de Lille";"Centre Inria de l'Université de Lille";"Terminée";"31/12/2010";"";"algèbre pour Identification et Estimation Numériques";"Algebra for Digital Identification and Estimation";"Mathématiques appliquées, calcul et simulation";"Applied Mathematics, Computation and Simulation";"Modélisation, optimisation et contrôle de systèmes dynamiques";"Modeling, Optimization, and Control of Dynamic Systems";"E. CENTRALE LILLE, EC. POLYTECHNIQUE, CNRS";"Ecole Centrale de Lille, Ecole Polytechnique, CNRS";"";"LIX [EC. POLYTECHNIQUE, CNRS], LAGIS [U. LILLE 1 (USTL), E. CENTRALE LILLE]";"Laboratoire d'informatique de l'école polytechnique (LIX), Laboratoire d'Automatique, de Génie Informatique et Signal (LAGIS)";"01/07/2007";"31/12/2010";"19/03/2009";"200718371T";"";"5805-C, 6068-R, 7010-P, 7574-F";"101016-0";"identification, estimation, algèbre, calcul opérationnel, non-asymptotique, automatique, traitement du signal";"identification, estimation, algebra, operational calculation, non-asymptotic, control, signal processing";
"SR0776AR";"ALMANACH";"EP";principal;"Sagot";"Benoit";"01-07-2019";"";"Principal";"Centre Inria de Paris";"Centre de recherche Inria de Paris";"Décision signée";"01/07/2019";"31/12/2024";"Modélisation et analyse linguistique automatique et humanités computationnelles";"Automatic Language Modelling and Analysis & Computational Humanities";"Perception, Cognition, Interaction";"Perception, Cognition and Interaction";"Langue, parole et audio";"Language, Speech and Audio";"";"";"";"";"";"01/01/2017";"31/12/2024";"02/10/2019";"201722248N";"";"12049-C, 12544-P, 12916-P, 13694-C, 14340-P, 16995-P";"021145-0";"";"";
"SR0098OR";"ALPAGE";"EP";principal;"Sagot";"Benoit";"01-01-2014";"31-12-2014";"Par intérim";"Centre Inria de Paris";"Université de Paris";"Terminée";"31/12/2016";"";"Analyse linguistique profonde à grande échelle";"Large-scale deep linguistic processing";"Perception, Cognition, Interaction";"Perception, Cognition and Interaction";"Langue, parole et audio";"Language, Speech and Audio";"U. PARIS 7 (UPD)";"Université Denis Diderot (Paris 7)";"";"ALPAGE [U. PARIS 7 (UPD), INRIA]";"Analyse Linguistique Profonde A Grande Echelle (ALPAGE)";"01/01/2008";"31/12/2016";"13/10/2011, 08/10/2015";"200818336A";"";"6154-C, 8346-P, 8930-P, 9862-CR, 9866-N, 10489-?, 11852-?, 11976-F";"021084-1";"TAL, analyse syntaxique, lexiques, discours";"NLP, parsing, lexicons, discourse";
"SR0544DR";"ALPINES";"Equipe";principal;"Grigori";"Laura";"01-01-2013";"31-12-2013";"Principal";"Centre Inria de Paris";"Rocquencourt";"Terminée";"30/06/2014";"";"Algorithms and parallel tools for integrated numerical simulations";"Algorithms and parallel tools for integrated numerical simulations";"Réseaux, systèmes et services, calcul distribué";"Networks, Systems and Services, Distributed Computing";"Calcul distribué et à haute performance";"Distributed and High Performance Computing";"CNRS, UPMC";"CNRS, Université Pierre et Marie Curie";"";"LJLL [UPMC, CNRS]";"Laboratoire Jacques-Louis Lions (LJLL)";"01/01/2013";"30/06/2014";"";"201321071B";"";"9047-C, 9603-P, 10026-P, 10316-F";"021121-0";"";"mesh generation, linear solvers, domain decomposition, boundary element methods, communication avoiding";
"SR0649HR";"ALPINES";"EP";principal;"Nataf";"Frederic";"01-05-2023";"31-12-2024";"Par intérim";"Centre Inria de Paris";"Centre de recherche Inria de Paris";"Décision signée";"01/07/2014";"30/06/2026";"Algorithms and parallel tools for integrated numerical simulations";"Algorithms and parallel tools for integrated numerical simulations";"Réseaux, systèmes et services, calcul distribué";"Networks, Systems and Services, Distributed Computing";"Calcul distribué et à haute performance";"Distributed and High Performance Computing";"CNRS, SORBONNE UNIVERSITE";"CNRS, Sorbonne Université";"INSMI";"LJLL [UPMC, CNRS]";"Laboratoire Jacques-Louis Lions (LJLL)";"01/07/2014";"30/06/2026";"12/10/2016, 07/10/2021";"201321071B";"";"10272-C, 12275-P, 14888-P, 15701-P, 16184-CR, 16185-N";"021121-1";"génération de maillage, solveurs linéaires, décomposition de domaine, minimisation de communications, algèbre linéaire et multilinéaire";"mesh generation, linear solvers, domain decomposition, boundary element methods, communication avoiding";
"SR0649HR";"ALPINES";"EP";;;;;;;"Centre Inria de Paris";"Sorbonne Université";"Décision signée";"01/07/2014";"30/06/2026";"Algorithms and parallel tools for integrated numerical simulations";"Algorithms and parallel tools for integrated numerical simulations";"Réseaux, systèmes et services, calcul distribué";"Networks, Systems and Services, Distributed Computing";"Calcul distribué et à haute performance";"Distributed and High Performance Computing";"CNRS, SORBONNE UNIVERSITE";"CNRS, Sorbonne Université";"INSMI";"LJLL [UPMC, CNRS]";"Laboratoire Jacques-Louis Lions (LJLL)";"01/07/2014";"30/06/2026";"12/10/2016, 07/10/2021";"201321071B";"";"10272-C, 12275-P, 14888-P, 15701-P, 16184-CR, 16185-N";"021121-1";"génération de maillage, solveurs linéaires, décomposition de domaine, minimisation de communications, algèbre linéaire et multilinéaire";"mesh generation, linear solvers, domain decomposition, boundary element methods, communication avoiding";
"SR0317SR";"AMAZONES";"Equipe";principal;"Frénot";"Stephane";"01-10-2009";"31-12-2010";"Principal";"Centre Inria de l'Université Grenoble Alpes";"Centre de recherche Inria de l'Université Grenoble Alpes";"Terminée";"31/12/2011";"";"Architecture sécurisées Orientées services pour réseaux ambiants";"Ambient Middleware Architectures: Service-Oriented, Networked, Efficient and Secured";"Réseaux, systèmes et services, calcul distribué ";"Networks, Systems and Services, Distributed Computing";"Systèmes et services distribués";"Distributed Systems and Services";"";"";"";"";"";"01/01/2008";"31/12/2011";"";"200821179R";"";"6046-C, 6599-P, 7152-P, 7748-P, 8540-F";"";"Intergiciels, Architecture orientée services, Sécurité, Systèmes formels, langages";"Middleware, Services-oriented Architectures, Security, Formal systems, Languages";
"SR0318HR";"AMIB";"Equipe";principal;"Regnier";"Mireille";"";"";"Principal";"Centre Inria de Saclay";"Laboratoire d'Informatique de l'Ecole polytechnique";"Terminée";"31/12/2010";"";"Algorithmes et modèles pour la Biologie Intégrative";"Algorithms and Models for Integrative Biology";"STIC pour les sciences de la vie et de l'environnement ";"Computational Sciences for Biology, Medicine and the Environment";"Biologie numérique et bioinformatique";"Computational Biology and Bioinformatics";"";"";"";"";"";"01/05/2009";"31/12/2010";"";"201120772K";"";"6741-C";"111051-0";"algorithmes, modelisation, bioinformatique, structure, regulation";"algorithms, modelling, computational biology, structure, regulation";
"SR0436BR";"AMIB";"EP";principal;"Regnier";"Mireille";"01-01-2011";"31-12-2014";"Principal";"Centre Inria de Saclay";"Laboratoire d'Informatique de l'Ecole polytechnique";"Terminée";"31/12/2016";"";"Algorithmes et modèles pour la Biologie Intégrative";"Algorithms and Models for Integrative Biology";"Santé, biologie et planète numériques";"Digital Health, Biology and Earth";"Biologie numérique";"Computational Biology";"U. PARIS 11 (P.-SUD), CNRS, EC. POLYTECHNIQUE";"Université Paris-Sud (Paris 11), CNRS, Ecole Polytechnique";"";"LIX [EC. POLYTECHNIQUE, CNRS]";"Laboratoire d'informatique de l'école polytechnique (LIX)";"01/01/2011";"31/12/2016";"17/10/2013, 11/10/2017";"201120772K";"";"8082-C, 10496-P, 11977-F";"111051-1";"Biologie structurale, annotation, biologie des systèmes, apprentissage, algorithmes, modelisation";"Computational Structural Biology, Annotation, Systems Biology, Machine Learning, Algorithm";
